yr_2007,cartodb_id,name,country_or,yr_2000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017
320582,167,Syria,Syrian Arab Rep.,9607,8733,23189,24371,325386,323424,319854,321208,323484,328216,279497,3068018,9340330,11606526,11690998,12643092,13288330
237356,168,Chad,Chad,60012,52996,49838,55201,55384,55960,152437,267222,250439,237465,176857,170201,72674,86935,100266,158465,157691
27219,169,Togo,Togo,5297,6326,13234,16352,16399,67589,44843,22679,19632,19391,20935,18816,11960,11018,10941,10972,11875
2696,170,Thailand,Thailand,359,252,597,450,413,650,3534,3502232,3500903,543089,506753,506755,506593,648,1059,1115,1491
1248,171,Tajikistan,Tajikistan,62085,58854,64919,59413,57015,54942,2223,943,3457,3208,3295,3421,2630,1684,2250,4124,4969
9327,172,Turkmenistan,Turkmenistan,350,354,931,1004,997,996,848,9352,12819,20804,11808,9802,9162,1243,1670,1450,1456
72598,173,Timor-Leste,Timor-Leste,175760,91246,60492,969,666,254,167218,15869,7,9,9,16,19,23,27,26,14
23,174,Tonga,Tonga,23,49,74,52,18,14,23,33,30,16,32,52,81,105,86,105,141
386,175,Trinidad and Tobago,Trinidad and Tobago,141,195,356,327,213,272,311,470,512,401,402,425,464,544,569,542,629
2854,176,Tunisia,Tunisia,1570,1764,2976,2948,2862,3494,3198,2717,2765,2732,3570,4226,3162,3406,3928,3757,4148
231287,177,Turkey,Turkey,57662,60461,206224,193663,179885,181904,239441,225651,158445,155343,147459,145018,77924,75462,71671,81198,95167
2,178,Tuvalu,Tuvalu,3,4,4,3,3,,3,2,,,2,6,4,6,3,3,
4176,179,United Republic of Tanzania,United Rep. of Tanzania,1870,3199,3089,4290,5335,6799,1897,4171,156458,163612,1722,1978,2067,1943,2427,1847,2093
1839494,180,Uganda,Uganda,33916,41244,42731,42487,35268,38562,1914308,1466792,862551,436040,133283,8719,61952,191987,193954,191558,196534
87112,181,Ukraine,Ukraine,22459,32616,90140,97014,169999,156976,132202,86673,82566,66724,66250,61467,40081,1076165,1943792,2066950,1977247
229,182,Uruguay,Uruguay,216,355,570,600,211,173,219,250,250,237,231,207,171,170,153,135,180
3290,183,United States of America,United States of America,269,330,618,747,724,946,1754,3892,3824,3907,4383,4891,5066,5194,5105,606,2488
7508,184,Uzbekistan,Uzbekistan,55653,11544,10874,9348,9059,9798,11267,8153,8262,10457,14180,13033,6737,6875,6888,6854,6914
1150,185,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,126,241,593,526,393,634,707,1494,1922,1993,2033,1805,1761,1782,1865,1466,1437
6858,186,Venezuela,Venezuela (Bolivarian Republic of),647,801,1309,2617,3952,5422,6203,7333,7801,7329,8150,8707,9552,12831,22548,52626,502805
336989,187,Vietnam,Viet Nam,372354,358737,377788,366119,352728,375939,383790,337497,347878,350095,349419,349911,327178,316635,317792,333969,341239
,188,Vanuatu,Vanuatu,2,1,,,,,,,2,3,3,1,1,1,2,2,16
3,189,Samoa,Samoa,3,10,5,5,1,3,5,4,1,3,1,13,10,11,14,12,11
78952,190,Yemen,Yemen,2976,2938,2910,2189,1983,1750,1723,102250,252554,318409,356804,496374,403989,425304,2558016,3033438,2187266
593,191,South Africa,South Africa,280,310,463,570,820,433,674,604,554,594,643,657,785,964,1304,1416,2065
692,192,Zambia,Zambia,221,169,269,368,506,632,271,690,260,286,430,505,537,617,787,576,413
48707,193,Zimbabwe,Zimbabwe,318,2956,5191,10633,18982,28577,13997,51639,23872,25285,116084,121800,121810,65097,78901,61526,39373
